time,gFx,gFy,gFz,TgF
15:28:20:9900,-0.2826,0.2190,0.8849,0.954
15:28:20:9910,-0.2806,0.2180,0.8817,0.951
15:28:20:9920,-0.2799,0.2166,0.8758,0.945
15:28:20:9960,-0.2801,0.2161,0.8670,0.936
15:28:20:9960,-0.2811,0.2168,0.8577,0.928
15:28:20:9980,-0.2833,0.2193,0.8492,0.922
15:28:21:0000,-0.2845,0.2234,0.8404,0.915
15:28:21:0020,-0.2840,0.2293,0.8296,0.906
15:28:21:0030,-0.2809,0.2359,0.8196,0.898
15:28:21:0090,-0.2782,0.2427,0.8115,0.892
15:28:21:0100,-0.2767,0.2501,0.8040,0.886
15:28:21:0110,-0.2740,0.2576,0.7947,0.879
15:28:21:0110,-0.2696,0.2650,0.7837,0.870
15:28:21:0450,-0.2650,0.2716,0.7719,0.860
15:28:21:0450,-0.2603,0.2769,0.7600,0.850
15:28:21:0450,-0.2564,0.2811,0.7475,0.839
15:28:21:0460,-0.2530,0.2845,0.7345,0.827
15:28:21:0460,-0.2493,0.2879,0.7213,0.816
15:28:21:0460,-0.2469,0.2911,0.7094,0.806
15:28:21:0460,-0.2471,0.2938,0.6984,0.797
15:28:21:0470,-0.2491,0.2963,0.6866,0.788
15:28:21:0470,-0.2518,0.2987,0.6749,0.780
15:28:21:0480,-0.2549,0.3016,0.6644,0.773
15:28:21:0480,-0.2596,0.3058,0.6558,0.769
15:28:21:0480,-0.2635,0.3112,0.6482,0.766
15:28:21:0490,-0.2657,0.3178,0.6412,0.763
15:28:21:0490,-0.2667,0.3251,0.6328,0.760
15:28:21:0490,-0.2667,0.3322,0.6236,0.755
15:28:21:0490,-0.2659,0.3393,0.6130,0.749
15:28:21:0500,-0.2652,0.3456,0.6008,0.742
15:28:21:0500,-0.2652,0.3508,0.5864,0.733
15:28:21:0500,-0.2662,0.3547,0.5708,0.723
15:28:21:0530,-0.2672,0.3576,0.5551,0.712
15:28:21:0540,-0.2691,0.3596,0.5397,0.702
15:28:21:0580,-0.2721,0.3608,0.5250,0.693
15:28:21:0580,-0.2750,0.3610,0.5116,0.684
15:28:21:0600,-0.2769,0.3613,0.4996,0.676
15:28:21:0610,-0.2779,0.3610,0.4899,0.669
15:28:21:0640,-0.2782,0.3610,0.4828,0.664
15:28:21:0650,-0.2782,0.3610,0.4774,0.660
15:28:21:0680,-0.2777,0.3610,0.4740,0.657
15:28:21:0700,-0.2769,0.3608,0.4727,0.656
15:28:21:0730,-0.2762,0.3608,0.4735,0.656
15:28:21:0750,-0.2772,0.3608,0.4764,0.659
15:28:21:0760,-0.2796,0.3601,0.4806,0.662
15:28:21:0780,-0.2823,0.3591,0.4850,0.666
15:28:21:0790,-0.2845,0.3581,0.4908,0.671
15:28:21:0810,-0.2865,0.3576,0.4982,0.677
15:28:21:0830,-0.2882,0.3574,0.5065,0.684
15:28:21:0859,-0.2882,0.3571,0.5155,0.690
